SCAN_NO_TECH	{未安装扫描技术<IMG>SLASH<>}
WPN_NAME_FORMAT_7	{%ADJECTIVE%%NOUN% %NUMERAL%}
WPN_NAME_FORMAT_8	{%ADJECTIVE%%NOUN% %VERSION%}
PROC_ADJECTIVE_1	{确定}
PROC_ADJECTIVE_2	{令人安心}
PROC_ADJECTIVE_3	{完成}
PROC_ADJECTIVE_4	{违抗}
PROC_ADJECTIVE_5	{升高}
PROC_ADJECTIVE_6	{消失}
PROC_ADJECTIVE_7	{最终}
PROC_ADJECTIVE_8	{飞逝}
PROC_ADJECTIVE_9	{隐藏}
PROC_ADJECTIVE_10	{不完美}
PROC_ADJECTIVE_11	{无畏}
PROC_ADJECTIVE_12	{明朗}
PROC_ADJECTIVE_13	{多变}
PROC_ADJECTIVE_14	{服从}
PROC_ADJECTIVE_15	{遮蔽}
PROC_ADJECTIVE_16	{反射}
PROC_ADJECTIVE_17	{升起}
PROC_ADJECTIVE_18	{沉默}
PROC_ADJECTIVE_19	{单数}
PROC_ADJECTIVE_20	{稳定}
PROC_ADJECTIVE_21	{平稳}
PROC_ADJECTIVE_22	{奇异}
PROC_ADJECTIVE_23	{抑郁}
PROC_ADJECTIVE_24	{崇高}
PROC_ADJECTIVE_25	{不寻常}
PROC_ADJECTIVE_26	{生机勃勃}
PROC_ADJECTIVE_27	{警觉}
PROC_ADJECTIVE_28	{生动}
PROC_NOUN_1	{祷告}
PROC_NOUN_2	{角度}
PROC_NOUN_3	{弧形}
PROC_NOUN_4	{方面}
PROC_NOUN_5	{铸件}
PROC_NOUN_6	{清晰}
PROC_NOUN_7	{概念}
PROC_NOUN_8	{形式}
PROC_NOUN_9	{礼物}
PROC_NOUN_10	{闪烁}
PROC_NOUN_11	{重力}
PROC_NOUN_12	{和谐}
PROC_NOUN_13	{猎人}
PROC_NOUN_14	{冲动}
PROC_NOUN_15	{直觉}
PROC_NOUN_16	{洞察}
PROC_NOUN_17	{灵感}
PROC_NOUN_18	{倒置}
PROC_NOUN_19	{循环}
PROC_NOUN_20	{路径}
PROC_NOUN_21	{反冲}
PROC_NOUN_22	{回刺}
PROC_NOUN_23	{反驳}
PROC_NOUN_24	{返回}
PROC_NOUN_25	{阴影}
PROC_NOUN_26	{涌动}
PROC_NOUN_27	{理论}
PROC_NOUN_28	{痕迹}
GLXY_SCAN_LOCAL	{<IMG>GALAXYSCAN<>扫描发现物}
GLXY_SCAN_IN_PROGRESS	{正在搜索......}
GLXY_NAME_VARIANT_1	{%PROCNAME%星系}
GLXY_NAME_VARIANT_2	{%PROCNAME%维度}
DISC_MISS_PERCT_COMPLETE	{%PERCENT% 完成}
DISC_MISS_REWARD_COMP	{完成可获得 %UNITS% 货币}
DISC_MISS_REWARD	{上传可获得 %UNITS% 货币}
DISC_MISS_REWARD_COMP_NANITES	{完成可获得 %UNITS% 个纳米星团}
DISC_MISS_REWARD_NANITES	{上传可获得 %UNITS% 个纳米星团}
DISC_MISS_BONUS_BUTTON	{长按登记完成！（%UNITS%纳米星团奖励）}
DISC_OWNER_IS_PLAYER_NEW	{新发现}
VALUE_DESC	{总价值 <STAT>%TOTAL% 货币<>}
VALUE_EACH	{(单价 %UNIT% 货币)}
HAZARDBAR_EXTREME	{极端}
HAZARDBAR_STORM	{风暴}
INV_PICKING	{移动并堆叠}
INV_PICKING_DESC	{堆叠物品、分离堆叠或移动至其他库存}
GLXY_STAR_INVALID_JUMP	{需要%NAME%}
GLXY_STAR_INVALID_JUMP_L	{需要%NAME%}
GLXY_SCAN_SELECT	{<IMG>PLAYER_RIGHT<> 选择}
DISCS_UPLOADED_CREDIT	{发现已上传。已获得 %REWARD% 货币。}
DISCS_UPLOADED_NANITES	{发现物已上传。已收到%REWARD%纳米星团。}
SHIELD	{护罩}
CRITICAL_HIT	{暴击}
GLXY_SCAN_SELECT_NR	{<IMG>GALAXYSCANNXT<> 选择最近处}
GLXY_SCAN_ABORT	{<IMG>GALAXYSCAN<> 放弃搜索}
PROFANITY_TITLE	{已被不当语言过滤器过滤}
PROFANITY_MSG	{无法接收此名称，其中包含不当字词。

请重新命名你的发现。}
UNREDEEMED_ITEMS_TITLE	{未兑换的物品}
UNREDEEMED_ITEMS_DESC	{你有未兑换的物品
请前往选项菜单兑换（<IMG>OPTIONS<>）}
ITEM_NUM_SLOTS	{(%SLOTS% 槽位)}
ITEM_NUM_SLOTS_BROKEN	{（%SLOTS%未损坏/总数）}
ITEM_NUM_SLOTS_COMBO	{（%SLOTS%技术/货物）}
GLXY_ROUTE_BH	{通往黑洞的路线}
GLXY_ROUTE_ATLAS	{通往阿特拉斯界面的路线}
OPTIONS_DEL_SAVE	{删除已保存的资料}
OPTIONS_DEL_CHECK	{是否确定删除以保存的资料？此操作不可恢复。}
DISC_REPORT_CHECK	{是否确定将其报告审核？}
OPTIONS_NEWGAME	{新游戏}
OPTIONS_CONTINUE	{继续游戏}
OPTIONS_PHOTO_CHECK	{移除平视显示器开启时，你将无法在屏幕中获得任何关于灾难、危险或事件的通知或预警。}
DNT_CREDITS_HG_LINE_001	{BREAK}
DNT_CREDITS_HG_LINE_002	{BREAK}
DNT_CREDITS_HG_LINE_003	{BREAK}
DNT_CREDITS_HG_LINE_004	{BREAK}
DNT_CREDITS_HG_LINE_005	{BREAK}
DNT_CREDITS_HG_LINE_006	{BREAK}
DNT_CREDITS_HG_LINE_007	{BREAK}
DNT_CREDITS_HG_LINE_008	{Aaron Andrews}
DNT_CREDITS_HG_LINE_009	{Adam Clixby}
DNT_CREDITS_HG_LINE_010	{Amanda Allen}
DNT_CREDITS_HG_LINE_011	{Andrew Hopkins}
DNT_CREDITS_HG_LINE_012	{Angus Plummer}
DNT_CREDITS_HG_LINE_013	{Anthony Brunton-Douglas}
DNT_CREDITS_HG_LINE_014	{Beau Lamb}
DNT_CREDITS_HG_LINE_015	{Ben Brooks}
DNT_CREDITS_HG_LINE_016	{David Ream}
DNT_CREDITS_HG_LINE_017	{Eugene Laptev}
DNT_CREDITS_HG_LINE_018	{Grant Duncan}
DNT_CREDITS_HG_LINE_019	{Howard Rayner}
DNT_CREDITS_HG_LINE_020	{BREAK}
DNT_CREDITS_HG_LINE_021	{BREAK}
DNT_CREDITS_HG_LINE_022	{BREAK}
DNT_CREDITS_HG_LINE_023	{BREAK}
DNT_CREDITS_HG_LINE_024	{BREAK}
DNT_CREDITS_HG_LINE_025	{BREAK}
DNT_CREDITS_HG_LINE_026	{BREAK}
DNT_CREDITS_HG_LINE_027	{BREAK}
DNT_CREDITS_HG_LINE_028	{BREAK}
DNT_CREDITS_HG_LINE_029	{<CR_TITLE>Thank you<>}
DNT_CREDITS_HG_LINE_030	{Thank you for playing No Man's Sky}
DNT_CREDITS_HG_LINE_031	{We hope you enjoy our game}
DNT_CREDITS_HG_LINE_032	{It means the world to our small team}
DNT_CREDITS_HG_LINE_033	{BREAK}
DNT_CREDITS_HG_LINE_034	{BREAK}
DNT_CREDITS_HG_LINE_035	{<CR_TITLE>Hello Games Development<>}
DNT_CREDITS_HG_LINE_036	{Iain Brown}
DNT_CREDITS_HG_LINE_037	{Innes McKendrick}
DNT_CREDITS_HG_LINE_038	{Jacob Golding}
DNT_CREDITS_HG_LINE_039	{James Noonan}
DNT_CREDITS_HG_LINE_040	{Jasmine Sabeva}
DNT_CREDITS_HG_LINE_041	{Jennifer Clixby}
DNT_CREDITS_HG_LINE_042	{João Costa}
DNT_CREDITS_HG_LINE_043	{Jordan Peck}
DNT_CREDITS_HG_LINE_044	{Kate Houlton}
DNT_CREDITS_HG_LINE_045	{Levi Naess}
DNT_CREDITS_HG_LINE_046	{Louise Murray}
DNT_CREDITS_HG_LINE_047	{Marian Kleineberg}
DNT_CREDITS_HG_LINE_048	{BREAK}
DNT_CREDITS_HG_LINE_049	{BREAK}
DNT_CREDITS_HG_LINE_050	{<CR_TITLE>Music<>}
DNT_CREDITS_HG_LINE_051	{65daysofstatic}
DNT_CREDITS_HG_LINE_052	{BREAK}
DNT_CREDITS_HG_LINE_053	{BREAK}
DNT_CREDITS_HG_LINE_054	{BREAK}
DNT_CREDITS_HG_LINE_055	{BREAK}
DNT_CREDITS_HG_LINE_056	{BREAK}
DNT_CREDITS_HG_LINE_057	{BREAK}
DNT_CREDITS_HG_LINE_058	{BREAK}
DNT_CREDITS_HG_LINE_059	{BREAK}
DNT_CREDITS_HG_LINE_060	{BREAK}
DNT_CREDITS_HG_LINE_061	{BREAK}
DNT_CREDITS_HG_LINE_062	{BREAK}
DNT_CREDITS_HG_LINE_063	{BREAK}
DNT_CREDITS_HG_LINE_064	{Martin Griffiths}
DNT_CREDITS_HG_LINE_065	{Matthew Green}
DNT_CREDITS_HG_LINE_066	{Neil Wallace}
DNT_CREDITS_HG_LINE_067	{Nic Ho Chee}
DNT_CREDITS_HG_LINE_068	{Paul Weir}
DNT_CREDITS_HG_LINE_069	{Ryan Doyle}
DNT_CREDITS_HG_LINE_070	{Salvatore Giuffrida}
DNT_CREDITS_HG_LINE_071	{Sean Murray}
DNT_CREDITS_HG_LINE_072	{Si Jaques}
DNT_CREDITS_HG_LINE_073	{Tim Woodley}
DNT_CREDITS_HG_LINE_074	{Tom Read Cutting}
DNT_CREDITS_HG_LINE_075	{Will Braham}
DNT_CREDITS_HG_LINE_076	{BREAK}
DNT_CREDITS_HG_LINE_077	{BREAK}
DNT_CREDITS_HG_LINE_078	{BREAK}
DNT_CREDITS_HG_LINE_079	{BREAK}
DNT_CREDITS_HG_LINE_080	{BREAK}
DNT_CREDITS_HG_LINE_081	{BREAK}
DNT_CREDITS_HG_LINE_082	{BREAK}
DNT_CREDITS_HG_LINE_083	{BREAK}
DNT_CREDITS_HG_LINE_084	{BREAK}
DNT_CREDITS_HG_LINE_085	{BREAK}
DNT_CREDITS_HG_LINE_086	{BREAK}
DNT_CREDITS_HG_LINE_087	{BREAK}
DNT_CREDITS_HG_LINE_088	{BREAK}
DNT_CREDITS_HG_LINE_089	{BREAK}
DNT_CREDITS_HG_LINE_090	{BREAK}
DNT_CREDITS_HG_LINE_091	{BREAK}
DNT_CREDITS_HG_LINE_092	{BREAK}
DNT_CREDITS_HG_LINE_093	{BREAK}
DNT_CREDITS_HG_LINE_094	{BREAK}
DNT_CREDITS_HG_LINE_095	{BREAK}
DNT_CREDITS_HG_LINE_096	{BREAK}
DNT_CREDITS_HG_LINE_097	{BREAK}
DNT_CREDITS_HG_LINE_098	{BREAK}
DNT_CREDITS_HG_LINE_099	{BREAK}
DNT_CREDITS_HG_LINE_100	{BREAK}
DNT_CREDITS_HG_LINE_101	{BREAK}
DNT_CREDITS_HG_LINE_102	{BREAK}
DNT_CREDITS_HG_LINE_103	{BREAK}
DNT_CREDITS_HG_LINE_104	{BREAK}
DNT_CREDITS_HG_LINE_105	{BREAK}
DNT_CREDITS_HG_LINE_106	{BREAK}
DNT_CREDITS_HG_LINE_107	{BREAK}
DNT_CREDITS_HG_LINE_108	{BREAK}
DNT_CREDITS_HG_LINE_109	{BREAK}
DNT_CREDITS_HG_LINE_110	{BREAK}
DNT_CREDITS_HG_LINE_111	{BREAK}
DNT_CREDITS_HG_LINE_112	{BREAK}
DNT_CREDITS_HG_LINE_113	{BREAK}
DNT_CREDITS_HG_LINE_114	{BREAK}
DNT_CREDITS_HG_LINE_115	{<CR_TITLE>Testing<>}
DNT_CREDITS_HG_LINE_116	{Adam Smith}
DNT_CREDITS_HG_LINE_117	{Doug Purser}
DNT_CREDITS_HG_LINE_118	{Gregor McEwan}
DNT_CREDITS_HG_LINE_119	{Jamie Cook}
DNT_CREDITS_HG_LINE_120	{Jay Norton}
DNT_CREDITS_HG_LINE_121	{Rosie Carter}
DNT_CREDITS_HG_LINE_122	{Ryan Didcote}
DNT_CREDITS_HG_LINE_123	{Shona Feltham}
DNT_CREDITS_HG_LINE_124	{Tom Pink}
DNT_CREDITS_HG_LINE_125	{BREAK}
DNT_CREDITS_HG_LINE_126	{<CR_TITLE>Operations<>}
DNT_CREDITS_HG_LINE_127	{Antonia Dedman}
DNT_CREDITS_HG_LINE_128	{Jackie Redmond}
DNT_CREDITS_HG_LINE_129	{Kelly Murrell}
DNT_CREDITS_HG_LINE_130	{BREAK}
DNT_CREDITS_HG_LINE_131	{<CR_TITLE>Contributors<>}
DNT_CREDITS_HG_LINE_132	{Alec Meer}
DNT_CREDITS_HG_LINE_133	{Alex Chapman}
DNT_CREDITS_HG_LINE_134	{Alex Wiltshire}
DNT_CREDITS_HG_LINE_135	{Alison Greagsby}
DNT_CREDITS_HG_LINE_136	{Chris Lee}
DNT_CREDITS_HG_LINE_137	{Christian-Peter Heimbach}
DNT_CREDITS_HG_LINE_138	{Greg Buchanan}
DNT_CREDITS_HG_LINE_139	{Kristan Reed}
DNT_CREDITS_HG_LINE_140	{BREAK}
DNT_CREDITS_HG_LINE_141	{BREAK}
DNT_CREDITS_HG_LINE_142	{BREAK}
DNT_CREDITS_HG_LINE_143	{BREAK}
DNT_CREDITS_HG_LINE_144	{BREAK}
DNT_CREDITS_HG_LINE_145	{BREAK}
DNT_CREDITS_HG_LINE_146	{BREAK}
DNT_CREDITS_HG_LINE_147	{BREAK}
DNT_CREDITS_HG_LINE_148	{BREAK}
DNT_CREDITS_HG_LINE_149	{BREAK}
DNT_CREDITS_HG_LINE_150	{BREAK}
DNT_CREDITS_HG_LINE_151	{BREAK}
DNT_CREDITS_HG_LINE_152	{BREAK}
DNT_CREDITS_HG_LINE_153	{BREAK}
DNT_CREDITS_HG_LINE_154	{BREAK}
DNT_CREDITS_HG_LINE_155	{BREAK}
DNT_CREDITS_HG_LINE_156	{BREAK}
DNT_CREDITS_HG_LINE_157	{BREAK}
DNT_CREDITS_HG_LINE_158	{BREAK}
DNT_CREDITS_HG_LINE_159	{BREAK}
DNT_CREDITS_HG_LINE_160	{BREAK}
DNT_CREDITS_HG_LINE_161	{BREAK}
DNT_CREDITS_HG_LINE_162	{BREAK}
DNT_CREDITS_HG_LINE_163	{BREAK}
DNT_CREDITS_HG_LINE_164	{BREAK}
DNT_CREDITS_HG_LINE_165	{BREAK}
DNT_CREDITS_HG_LINE_166	{BREAK}
DNT_CREDITS_HG_LINE_167	{BREAK}
DNT_CREDITS_HG_LINE_168	{BREAK}
DNT_CREDITS_HG_LINE_169	{BREAK}
DNT_CREDITS_HG_LINE_170	{BREAK}
DNT_CREDITS_HG_LINE_171	{BREAK}
DNT_CREDITS_HG_LINE_172	{BREAK}
DNT_CREDITS_HG_LINE_173	{BREAK}
DNT_CREDITS_HG_LINE_174	{BREAK}
DNT_CREDITS_HG_LINE_175	{<CR_TITLE>Forerunners<>}
DNT_CREDITS_HG_LINE_176	{Andrew Hutchings}
DNT_CREDITS_HG_LINE_177	{Carl Miller}
DNT_CREDITS_HG_LINE_178	{Charlie Tangora}
DNT_CREDITS_HG_LINE_179	{Chris Cummings}
DNT_CREDITS_HG_LINE_180	{Chris Hohbein}
DNT_CREDITS_HG_LINE_181	{Dan Griliopoulos}
DNT_CREDITS_HG_LINE_182	{Daniel Armesto}
DNT_CREDITS_HG_LINE_183	{Don Williamson}
DNT_CREDITS_HG_LINE_184	{Edd Langridge}
DNT_CREDITS_HG_LINE_185	{Gareth Bourn}
DNT_CREDITS_HG_LINE_186	{Giovanna Pellegrino}
DNT_CREDITS_HG_LINE_187	{Harry Denholm}
DNT_CREDITS_HG_LINE_188	{James Swallow}
DNT_CREDITS_HG_LINE_189	{Jamie Thomson}
DNT_CREDITS_HG_LINE_190	{Jenna Copley}
DNT_CREDITS_HG_LINE_191	{Jozsef Szollosi}
DNT_CREDITS_HG_LINE_192	{Kristen McGorry}
DNT_CREDITS_HG_LINE_193	{BREAK}
DNT_CREDITS_HG_LINE_194	{BREAK}
DNT_CREDITS_HG_LINE_195	{BREAK}
DNT_CREDITS_HG_LINE_196	{BREAK}
DNT_CREDITS_HG_LINE_197	{BREAK}
DNT_CREDITS_HG_LINE_198	{BREAK}
DNT_CREDITS_HG_LINE_199	{BREAK}
DNT_CREDITS_HG_LINE_200	{BREAK}
DNT_CREDITS_HG_LINE_201	{BREAK}
DNT_CREDITS_HG_LINE_202	{BREAK}
DNT_CREDITS_HG_LINE_203	{Lauran Carter}
DNT_CREDITS_HG_LINE_204	{Martin Korda}
DNT_CREDITS_HG_LINE_205	{Matt Reynolds}
DNT_CREDITS_HG_LINE_206	{Mike Clarke}
DNT_CREDITS_HG_LINE_207	{Olly Read}
DNT_CREDITS_HG_LINE_208	{Peter Houska}
DNT_CREDITS_HG_LINE_209	{Salwa Azar}
DNT_CREDITS_HG_LINE_210	{Sam Lucas}
DNT_CREDITS_HG_LINE_211	{Sam Swain}
DNT_CREDITS_HG_LINE_212	{Sandy White}
DNT_CREDITS_HG_LINE_213	{Sarah Webb}
DNT_CREDITS_HG_LINE_214	{Shanie Grant}
DNT_CREDITS_HG_LINE_215	{Simon Carter}
DNT_CREDITS_HG_LINE_216	{Sophie Hodgetts}
DNT_CREDITS_HG_LINE_217	{Stewart Lynch}
DNT_CREDITS_HG_LINE_218	{Susan Wong}
DNT_CREDITS_HG_LINE_219	{Suzy Wallace}
DNT_CREDITS_HG_LINE_220	{Will Porter}
DNT_CREDITS_HG_LINE_221	{BREAK}
DNT_CREDITS_HG_LINE_222	{BREAK}
DNT_CREDITS_HG_LINE_223	{BREAK}
DNT_CREDITS_HG_LINE_224	{BREAK}
DNT_CREDITS_HG_LINE_225	{BREAK}
DNT_CREDITS_HG_LINE_226	{BREAK}
DNT_CREDITS_HG_LINE_227	{BREAK}
DNT_CREDITS_HG_LINE_228	{BREAK}
DNT_CREDITS_HG_LINE_229	{BREAK}
DNT_CREDITS_HG_LINE_230	{BREAK}
DNT_CREDITS_HG_LINE_231	{<CR_TITLE>People we love<>}
DNT_CREDITS_HG_LINE_232	{Susie Williams}
DNT_CREDITS_HG_LINE_233	{Vicky Ream}
DNT_CREDITS_HG_LINE_234	{Astrid Steiner}
DNT_CREDITS_HG_LINE_235	{Wendy Cummings}
DNT_CREDITS_HG_LINE_236	{Amy Philips}
DNT_CREDITS_HG_LINE_237	{Kim Perry}
DNT_CREDITS_HG_LINE_238	{Jackie Tetley}
DNT_CREDITS_HG_LINE_239	{Harriet Wilcox}
DNT_CREDITS_HG_LINE_240	{Martin and Polly Tangora}
DNT_CREDITS_HG_LINE_241	{Karin and Bill McKendrick}
DNT_CREDITS_HG_LINE_242	{Billie Gartland}
DNT_CREDITS_HG_LINE_243	{Caitlin Muir}
DNT_CREDITS_HG_LINE_244	{Nikta Farrokhi}
DNT_CREDITS_HG_LINE_245	{Kate and Sophie Carter}
DNT_CREDITS_HG_LINE_246	{Ellie, Rory and Rose Murray}
DNT_CREDITS_HG_LINE_247	{BREAK}
DNT_CREDITS_HG_LINE_248	{BREAK}
DNT_CREDITS_HG_LINE_249	{BREAK}
DNT_CREDITS_HG_LINE_250	{BREAK}
DNT_CREDITS_HG_LINE_251	{BREAK}
DNT_CREDITS_SONY_LINE_001	{<CR_TITLE>Sony<>}
DNT_CREDITS_SONY_LINE_002	{BREAK}
DNT_CREDITS_SONY_LINE_003	{<CR_HEAD>Sony Worldwide Studios Europe<>}
DNT_CREDITS_SONY_LINE_004	{<CR_HEAD>International Software Department<>}
DNT_CREDITS_SONY_LINE_005	{BREAK}
DNT_CREDITS_SONY_LINE_006	{Ed Bushell: Producer}
DNT_CREDITS_SONY_LINE_007	{Sean Kelly: Director of International Development}
DNT_CREDITS_SONY_LINE_008	{Elodie Hummel: Executive Producer}
DNT_CREDITS_SONY_LINE_009	{Laura Cattaneo: Project Manager Localisation}
DNT_CREDITS_SONY_LINE_010	{BREAK}
DNT_CREDITS_SONY_LINE_011	{<CR_HEAD>Sony Interactive Entertainment Europe<>}
DNT_CREDITS_SONY_LINE_012	{Jim Ryan: President & CEO}
DNT_CREDITS_SONY_LINE_013	{Simon Rutter: European Executive Vice President}
DNT_CREDITS_SONY_LINE_014	{BREAK}
DNT_CREDITS_SONY_LINE_015	{<CR_HEAD>Strategic Content<>}
DNT_CREDITS_SONY_LINE_016	{Michael Patterson: Vice President, Third Party Relations and Strategic Content}
DNT_CREDITS_SONY_LINE_017	{Shahid Ahmad: Director, Strategic Content}
DNT_CREDITS_SONY_LINE_018	{Lorenzo Grimaldi: Production Manager, Strategic Content}
DNT_CREDITS_SONY_LINE_019	{Ben Andac: Executive Producer, Strategic Content}
DNT_CREDITS_SONY_LINE_020	{BREAK}
DNT_CREDITS_SONY_LINE_021	{<CR_HEAD>SIEE Marketing<>}
DNT_CREDITS_SONY_LINE_022	{Usama Al-Qassab: European VP Product Marketing}
DNT_CREDITS_SONY_LINE_023	{Toby Morrish: European Director of Software Marketing}
DNT_CREDITS_SONY_LINE_024	{Penrose Tackie: European Software Marketing Manager}
DNT_CREDITS_SONY_LINE_025	{Tim Hodges: European Product Manager}
DNT_CREDITS_SONY_LINE_026	{Chris Brown: European Product Manager}
DNT_CREDITS_SONY_LINE_027	{Simon Matthews: European PR Manager}
DNT_CREDITS_SONY_LINE_028	{Robert Walker: European Release Manager}
DNT_CREDITS_SONY_LINE_029	{Andy Hope: European Graphic Designer}
DNT_CREDITS_SONY_LINE_030	{Dominic Wiggan: European Copywriter}
DNT_CREDITS_SONY_LINE_031	{James Anderson: European Software Campaign Producer}
DNT_CREDITS_SONY_LINE_032	{Manij Shrestha: European CRM Coordinator}
DNT_CREDITS_SONY_LINE_033	{Yasmin Thomas: European Packaging Coordinator}
DNT_CREDITS_SONY_LINE_034	{BREAK}
DNT_CREDITS_SONY_LINE_035	{<CR_HEAD>User Research Team<>}
DNT_CREDITS_SONY_LINE_036	{Steve Bromley: User Researcher}
DNT_CREDITS_SONY_LINE_037	{Moh Khan: User Researcher}
DNT_CREDITS_SONY_LINE_038	{BREAK}
DNT_CREDITS_SONY_LINE_039	{BREAK}
DNT_CREDITS_SONY_LINE_040	{BREAK}
DNT_CREDITS_SONY_LINE_041	{<CR_HEAD>World Wide Studios QA-Europe<>}
DNT_CREDITS_SONY_LINE_042	{BREAK}
DNT_CREDITS_SONY_LINE_043	{Dave Parkinson: Director, Test Services and QA Engineering, WWS QA}
DNT_CREDITS_SONY_LINE_044	{BREAK}
DNT_CREDITS_SONY_LINE_045	{Kate Murray : Department Assistant}
DNT_CREDITS_SONY_LINE_046	{BREAK}
DNT_CREDITS_SONY_LINE_047	{<CR_HEAD>Release Management<>}
DNT_CREDITS_SONY_LINE_048	{Justin Bailey: Manager, Release Management}
DNT_CREDITS_SONY_LINE_049	{Steven Pajak : Associate Manager, Release Management}
DNT_CREDITS_SONY_LINE_050	{Michelle Tilley: Senior Release Manager, Release Management}
DNT_CREDITS_SONY_LINE_051	{Andy Godden : Release Manager, Release Management}
DNT_CREDITS_SONY_LINE_052	{BREAK}
DNT_CREDITS_SONY_LINE_053	{BREAK}
DNT_CREDITS_SONY_LINE_054	{<CR_HEAD>Business Services<>}
DNT_CREDITS_SONY_LINE_055	{Anthony Gill: Manager, Resource Services}
DNT_CREDITS_SONY_LINE_056	{Natalia Craddock : Principal Vendor Coordinator, Resource Services}
DNT_CREDITS_SONY_LINE_057	{Greg Tarka: Vendor Coordinator, Resource Services}
DNT_CREDITS_SONY_LINE_058	{Matthew Adderley : Principal Talent Coordinator, Resource Services}
DNT_CREDITS_SONY_LINE_059	{Tom Nicholson-Ihara : Asset Coordinator, Resource Services}
DNT_CREDITS_SONY_LINE_060	{BREAK}
DNT_CREDITS_SONY_LINE_061	{Michael Bishop: Senior Application Support Analyst, Tools Support}
DNT_CREDITS_SONY_LINE_062	{Steven Weir : Application Support Analyst, Tools Support}
DNT_CREDITS_SONY_LINE_063	{BREAK}
DNT_CREDITS_SONY_LINE_064	{James Dyce : Associate Translator, Translation Services}
DNT_CREDITS_SONY_LINE_065	{BREAK}
DNT_CREDITS_SONY_LINE_066	{<CR_HEAD>Test Services<>}
DNT_CREDITS_SONY_LINE_067	{Nadine Martin: Senior Manager, Test Services}
DNT_CREDITS_SONY_LINE_068	{BREAK}
DNT_CREDITS_SONY_LINE_069	{Fraser McLachlan : Test Manager, Test Services}
DNT_CREDITS_SONY_LINE_070	{Giovanna Pellegrino: Onsite Test Analyst, Tools & Test Engineering}
DNT_CREDITS_SONY_LINE_071	{BREAK}
DNT_CREDITS_SONY_LINE_072	{Andrew Durney: Functional Test Leads, Test Services}
DNT_CREDITS_SONY_LINE_073	{Ian McEvoy: Functional Test Leads, Test Services}
DNT_CREDITS_SONY_LINE_074	{Pete Fell : Functional Senior Tester, Test Services}
DNT_CREDITS_SONY_LINE_075	{Sam Hughes: Functional Senior Tester, Test Services}
DNT_CREDITS_SONY_LINE_076	{Adam Bramhill: Functional Testers, Test Services}
DNT_CREDITS_SONY_LINE_077	{Chris Gidwaney: Functional Testers, Test Services}
DNT_CREDITS_SONY_LINE_078	{Craig Harrison: Functional Testers, Test Services}
DNT_CREDITS_SONY_LINE_079	{Curtis Reekie: Functional Testers, Test Services}
DNT_CREDITS_SONY_LINE_080	{David Blakely: Functional Testers, Test Services}
DNT_CREDITS_SONY_LINE_081	{Iain McNulty: Functional Testers, Test Services}
DNT_CREDITS_SONY_LINE_082	{James Bergin: Functional Testers, Test Services}
DNT_CREDITS_SONY_LINE_083	{James Pollard: Functional Testers, Test Services}
DNT_CREDITS_SONY_LINE_084	{Jennifer Swann: Functional Testers, Test Services}
DNT_CREDITS_SONY_LINE_085	{Kyle Smith: Functional Testers, Test Services}
DNT_CREDITS_SONY_LINE_086	{Lee Picton: Functional Testers, Test Services}
DNT_CREDITS_SONY_LINE_087	{Neil Gaughan: Functional Testers, Test Services}
DNT_CREDITS_SONY_LINE_088	{Neil Harper: Functional Testers, Test Services}
DNT_CREDITS_SONY_LINE_089	{Paul Edwards: Functional Testers, Test Services}
DNT_CREDITS_SONY_LINE_090	{Rebecca Moore: Functional Testers, Test Services}
DNT_CREDITS_SONY_LINE_091	{Samuel Shutt: Functional Testers, Test Services}
DNT_CREDITS_SONY_LINE_092	{Shaun Doyle: Functional Testers, Test Services}
DNT_CREDITS_SONY_LINE_093	{Tyler Clark: Functional Testers, Test Services}
DNT_CREDITS_SONY_LINE_094	{BREAK}
DNT_CREDITS_SONY_LINE_095	{Nathan James: Test Coordinators, Test Services}
DNT_CREDITS_SONY_LINE_096	{Seamus Blakeway: Test Coordinators, Test Services}
DNT_CREDITS_SONY_LINE_097	{Paul Henderson: Test Coordinators, Test Services}
DNT_CREDITS_SONY_LINE_098	{BREAK}
DNT_CREDITS_SONY_LINE_099	{Lee Champion : TRC Test Lead, Test Services}
DNT_CREDITS_SONY_LINE_100	{Don Shallcross: TRC Senior Tester, Test Services}
DNT_CREDITS_SONY_LINE_101	{Stephen Quayle : TRC Testers, Test Services}
DNT_CREDITS_SONY_LINE_102	{BREAK}
DNT_CREDITS_SONY_LINE_103	{Chad Collinson: Localisation Test Leads, Test Services}
DNT_CREDITS_SONY_LINE_104	{Paul Wright: Localisation Test Leads, Test Services}
DNT_CREDITS_SONY_LINE_105	{Christine B-Marin : Localisation Coordinator, Test Services}
DNT_CREDITS_SONY_LINE_106	{Alexander Lavrenov: Localisation Testers, Test Services}
DNT_CREDITS_SONY_LINE_107	{Christoph Neubauer: Localisation Testers, Test Services}
DNT_CREDITS_SONY_LINE_108	{Claudia Gibbardo: Localisation Testers, Test Services}
DNT_CREDITS_SONY_LINE_109	{Fabio Jose Duarte Francisco: Localisation Testers, Test Services}
DNT_CREDITS_SONY_LINE_110	{Joanna Skorupa: Localisation Testers, Test Services}
DNT_CREDITS_SONY_LINE_111	{Lise Mortier: Localisation Testers, Test Services}
DNT_CREDITS_SONY_LINE_112	{Manuel Tena: Localisation Testers, Test Services}
DNT_CREDITS_SONY_LINE_113	{BREAK}
